                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.85986,                 1.9702,                 1.4716,                      0,                      0,                      0,                      0,                 2.6485,                  6.615,                 2.8149,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.87664,                  2.025,                 1.3796,                      0,                      0,                      0,                      0,                 2.6545,                 6.6382,                 2.8141,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 1.0673,                 2.6096,                 1.7307,                      0,                      0,                      0,                      0,                 2.6545,                 6.6382,                 2.8141,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 1.1201,                 2.5406,                 1.7365,                      0,                      0,                      0,                      0,                 2.6545,                 6.6382,                 2.8141,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                 0.7899,                 2.4899,                 1.5253,                      0,                      0,                      0,                      0,                 2.6627,                 6.6509,                  2.801,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.85582,                 1.9514,                 1.4231,                      0,                      0,                      0,                      0,                 2.6627,                 6.6509,                  2.801,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.90316,                 2.3551,                 1.5163,                      0,                      0,                      0,                      0,                 2.6627,                 6.6509,                  2.801,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.98785,                 2.1133,                 1.3668,                      0,                      0,                      0,                      0,                 2.6631,                  6.659,                 2.8145,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.96958,                 2.2304,                 1.6483,                      0,                      0,                      0,                      0,                 2.6631,                  6.659,                 2.8145,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 1.1166,                 2.3167,                 1.4831,                      0,                      0,                      0,                      0,                 2.6631,                  6.659,                 2.8145,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                0.89091,                 2.5697,                 1.5724,                      0,                      0,                      0,                      0,                 2.6536,                 6.6589,                 2.7976,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.83818,                 1.9484,                 1.4291,                      0,                      0,                      0,                      0,                 2.6536,                 6.6589,                 2.7976,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.92463,                 1.9714,                 1.2161,                      0,                      0,                      0,                      0,                 2.6536,                 6.6589,                 2.7976,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 1.2611,                 2.2839,                 1.5048,                      0,                      0,                      0,                      0,                 2.6579,                 6.6572,                 2.8069,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                0.73455,                  1.615,                 1.2979,                      0,                      0,                      0,                      0,                 2.6579,                 6.6572,                 2.8069,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.79959,                  1.985,                 1.4292,                      0,                      0,                      0,                      0,                 2.6579,                 6.6572,                 2.8069,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 1.0172,                 2.6875,                 1.6124,                      0,                      0,                      0,                      0,                 2.6566,                  6.652,                 2.8035,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.99433,                 1.9287,                 1.6198,                      0,                      0,                      0,                      0,                 2.6566,                  6.652,                 2.8035,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 1.1164,                 2.5034,                 1.3753,                      0,                      0,                      0,                      0,                 2.6566,                  6.652,                 2.8035,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                  1.076,                 2.3375,                 1.6388,                      0,                      0,                      0,                      0,                 2.6566,                  6.652,                 2.8035,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.82059,                 1.7651,                 1.3734,                      0,                      0,                      0,                      0,                 2.6402,                 6.6586,                 2.7908,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                0.73598,                 1.7816,                 1.4245,                      0,                      0,                      0,                      0,                 2.6402,                 6.6586,                 2.7908,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.85926,                 1.9304,                 1.3804,                      0,                      0,                      0,                      0,                 2.6402,                 6.6586,                 2.7908,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                 0.9837,                 1.9875,                 1.3268,                      0,                      0,                      0,                      0,                 2.6402,                 6.6586,                 2.7908,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 0.8666,                 2.0936,                 1.3572,                      0,                      0,                      0,                      0,                 2.6533,                 6.6688,                 2.8105,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.85375,                 1.7918,                 1.3429,                      0,                      0,                      0,                      0,                 2.6533,                 6.6688,                 2.8105,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                 0.7541,                 1.7003,                 1.3586,                      0,                      0,                      0,                      0,                 2.6533,                 6.6688,                 2.8105,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.82609,                  2.004,                 1.5255,                      0,                      0,                      0,                      0,                 2.6533,                 6.6688,                 2.8105,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.84464,                 1.9243,                  1.289,                      0,                      0,                      0,                      0,                 2.6496,                 6.6807,                 2.8141,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                 0.8642,                 2.0039,                 1.4752,                      0,                      0,                      0,                      0,                 2.6496,                 6.6807,                 2.8141,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.68189,                 1.4735,                 1.2263,                      0,                      0,                      0,                      0,                 2.6496,                 6.6807,                 2.8141,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.86728,                 2.0112,                 1.5803,                      0,                      0,                      0,                      0,                 2.6496,                 6.6807,                 2.8141,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.92343,                  2.002,                 1.5868,                      0,                      0,                      0,                      0,                 2.6674,                 6.6836,                 2.8119,             2.3444e-06,             2.3444e-06,             2.3444e-06
