                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                  1.156,                 4.7077,                 1.7404,                      0,                      0,                      0,                      0,                 2.4221,                  6.348,                  2.754,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                  1.562,                 5.0188,                 2.0019,                      0,                      0,                      0,                      0,                 2.4146,                 6.3687,                 2.7428,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 1.1293,                 4.4883,                 1.6139,                      0,                      0,                      0,                      0,                 2.4146,                 6.3687,                 2.7428,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 1.3663,                 4.8898,                 1.9407,                      0,                      0,                      0,                      0,                 2.4146,                 6.3687,                 2.7428,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 1.3605,                 4.7269,                 1.7285,                      0,                      0,                      0,                      0,                 2.4303,                 6.3432,                 2.7333,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 1.4811,                 4.9131,                 1.9364,                      0,                      0,                      0,                      0,                 2.4303,                 6.3432,                 2.7333,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 1.2907,                 4.7283,                 1.5965,                      0,                      0,                      0,                      0,                 2.4303,                 6.3432,                 2.7333,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                 1.7545,                 4.6264,                 1.8695,                      0,                      0,                      0,                      0,                 2.4004,                 6.3182,                 2.7131,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 1.3589,                 4.7303,                 1.7616,                      0,                      0,                      0,                      0,                 2.4004,                 6.3182,                 2.7131,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 1.3552,                 4.6492,                 1.7863,                      0,                      0,                      0,                      0,                 2.4004,                 6.3182,                 2.7131,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.84759,                 4.4522,                 1.4091,                      0,                      0,                      0,                      0,                 2.4052,                 6.3208,                 2.7045,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 1.1385,                 4.5225,                 1.6945,                      0,                      0,                      0,                      0,                 2.4052,                 6.3208,                 2.7045,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 1.4804,                 4.8052,                  1.852,                      0,                      0,                      0,                      0,                 2.4052,                 6.3208,                 2.7045,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 1.1818,                 4.6123,                 1.6845,                      0,                      0,                      0,                      0,                 2.4016,                 6.3036,                 2.6885,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.93785,                 4.4841,                 1.5934,                      0,                      0,                      0,                      0,                 2.4016,                 6.3036,                 2.6885,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                 1.2424,                 4.3824,                 1.5597,                      0,                      0,                      0,                      0,                 2.4016,                 6.3036,                 2.6885,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 1.0887,                 4.4856,                 1.5653,                      0,                      0,                      0,                      0,                 2.3935,                 6.2887,                 2.6842,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 1.4565,                 4.6342,                 1.8984,                      0,                      0,                      0,                      0,                 2.3935,                 6.2887,                 2.6842,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.97714,                 4.6443,                 1.6501,                      0,                      0,                      0,                      0,                 2.3935,                 6.2887,                 2.6842,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                  1.421,                 4.8528,                 1.8806,                      0,                      0,                      0,                      0,                 2.3877,                 6.2826,                 2.6808,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 1.6251,                 4.8937,                 1.8542,                      0,                      0,                      0,                      0,                 2.3877,                 6.2826,                 2.6808,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 1.3506,                 4.3478,                 1.6489,                      0,                      0,                      0,                      0,                 2.3877,                 6.2826,                 2.6808,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 1.0525,                 4.4955,                 1.5737,                      0,                      0,                      0,                      0,                 2.3877,                 6.2826,                 2.6808,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 1.2778,                 4.6784,                 1.7821,                      0,                      0,                      0,                      0,                 2.3799,                 6.2702,                 2.6751,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 1.4031,                 4.3832,                 1.6694,                      0,                      0,                      0,                      0,                 2.3799,                 6.2702,                 2.6751,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                 1.1774,                 4.3595,                  1.658,                      0,                      0,                      0,                      0,                 2.3799,                 6.2702,                 2.6751,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                 1.2906,                 4.4558,                 1.5875,                      0,                      0,                      0,                      0,                 2.3799,                 6.2702,                 2.6751,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 1.0885,                 4.6512,                 1.6111,                      0,                      0,                      0,                      0,                 2.3473,                 6.2534,                 2.6648,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                 1.1568,                 4.2551,                 1.5259,                      0,                      0,                      0,                      0,                 2.3473,                 6.2534,                 2.6648,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                  1.319,                 4.6634,                 1.7802,                      0,                      0,                      0,                      0,                 2.3473,                 6.2534,                 2.6648,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                 1.1113,                 4.4942,                 1.6213,                      0,                      0,                      0,                      0,                 2.3473,                 6.2534,                 2.6648,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                 1.3292,                 4.5522,                 1.8276,                      0,                      0,                      0,                      0,                 2.3264,                  6.225,                 2.6708,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                 1.1488,                 4.4053,                 1.7145,                      0,                      0,                      0,                      0,                 2.3264,                  6.225,                 2.6708,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                 1.2529,                 4.5342,                 1.7817,                      0,                      0,                      0,                      0,                 2.3264,                  6.225,                 2.6708,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                 1.1769,                  4.271,                 1.4969,                      0,                      0,                      0,                      0,                 2.3264,                  6.225,                 2.6708,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                 1.2078,                 4.5515,                 1.7313,                      0,                      0,                      0,                      0,                 2.3271,                 6.2389,                 2.6719,             2.3444e-06,             2.3444e-06,             2.3444e-06
